player_name,Pos,Age,Tm,G,salary,WAR,PPG,PPM,APG,APM,RPG,RPM,OPG,DPG,SPG,BPG,TPG,FPG,eFGp,PER,TSp,OWS,DWS,WS,WSpG
Treveon Graham,SG,25,BRK,35,1512601,-0.81,5.257,0.257,0.971,0.048,3.057,0.15,0.657,2.4,0.371,0.2,0.486,1.943,0.435,6.1,0.458,-0.1,0.6,0.5,0.033
Trevor Ariza,SF,33,TOT,69,15000000,1.08,12.507,0.367,3.652,0.107,5.377,0.158,0.725,4.652,1.319,0.304,1.536,1.884,0.498,12,0.534,1.3,1.2,2.5,0.052
Trey Burke,PG,26,TOT,58,1795015,1.62,10.879,0.561,2.741,0.141,1.707,0.088,0.483,1.224,0.569,0.121,0.845,1,0.482,16.5,0.524,1.4,0.5,1.9,0.081
Trey Lyles,PF,23,DEN,64,3364249,-0.27,8.531,0.488,1.359,0.078,3.844,0.22,0.688,3.156,0.469,0.359,1.062,1.453,0.47,12.7,0.5,-0.2,1.4,1.2,0.05
Tristan Thompson,C,27,CLE,43,17469565,1.08,10.93,0.392,2,0.072,10.186,0.366,4.023,6.163,0.651,0.372,1.372,2.07,0.529,18.4,0.551,2.1,0.5,2.6,0.105
Troy Daniels,SG,27,PHO,51,3258539,-0.81,6.235,0.418,0.51,0.034,1.431,0.096,0.255,1.176,0.51,0.098,0.529,1.549,0.545,9.8,0.558,0.2,0.1,0.3,0.02
Tyler Dorsey,SG,22,TOT,48,1378242,-0.81,6.167,0.424,1.167,0.08,2.354,0.162,0.562,1.792,0.292,0.042,0.562,1.104,0.489,11.2,0.509,0.2,0.4,0.6,0.043
Tyler Johnson,PG,26,TOT,57,19245370,1.62,10.86,0.405,2.912,0.109,3.035,0.113,0.596,2.439,0.947,0.474,1.351,1.702,0.498,12.4,0.532,0.9,1.4,2.3,0.071
Tyreke Evans,SG,29,IND,69,12400000,-0.54,10.232,0.504,2.406,0.118,2.913,0.143,0.478,2.435,0.841,0.261,1.71,1.696,0.448,11.5,0.483,-1.7,2,0.3,0.01
Tyrone Wallace,PG,24,LAC,62,1349383,-1.89,3.516,0.347,0.677,0.067,1.629,0.161,0.323,1.306,0.339,0.113,0.581,1.339,0.433,7,0.45,-0.8,0.5,-0.3,-0.023
Tyson Chandler,C,36,TOT,55,13585000,0,3.145,0.198,0.673,0.042,5.582,0.351,1.673,3.909,0.382,0.418,0.764,2,0.616,11.2,0.63,0.9,1.2,2.1,0.114
Tyus Jones,PG,22,MIN,68,2444052,1.62,6.882,0.3,4.809,0.21,1.971,0.086,0.338,1.632,1.191,0.074,0.691,1.147,0.46,13.7,0.491,2.1,0.9,3,0.091
Victor Oladipo,SG,26,IND,36,21000000,3.78,18.75,0.588,5.167,0.162,5.611,0.176,0.583,5.028,1.667,0.306,2.278,2,0.486,17.6,0.519,0.4,1.9,2.3,0.097
Vince Carter,PF,42,ATL,76,2393887,1.35,7.395,0.423,1.145,0.065,2.553,0.146,0.408,2.145,0.579,0.355,0.632,1.855,0.55,11.8,0.565,1.2,0.7,1.9,0.07
Wayne Ellington,SG,31,TOT,53,8653076,1.89,10.283,0.42,1.358,0.056,2.019,0.082,0.264,1.755,1.019,0.113,0.755,1.736,0.554,11.8,0.569,1.3,1.4,2.6,0.097
Wayne Selden,SG,24,TOT,75,1544951,-3.24,6.853,0.357,1.453,0.076,2.4,0.125,0.493,1.907,0.44,0.173,1.053,1.747,0.463,8.3,0.491,-1,0.8,-0.3,-0.009
Wesley Iwundu,SF,24,ORL,68,1378242,-1.08,4.985,0.275,1.074,0.059,2.706,0.149,0.544,2.162,0.412,0.324,0.647,1.809,0.465,8.7,0.531,0.5,1.4,1.9,0.073
Wesley Johnson,SF,31,TOT,38,6134000,-1.08,3.368,0.24,0.605,0.043,1.895,0.135,0.316,1.579,0.368,0.316,0.474,1.658,0.449,5.5,0.469,-0.3,0.3,0,0.001
Wesley Matthews,SF-SG,32,TOT,69,19360228,0.27,12.174,0.402,2.319,0.077,2.464,0.081,0.464,2,0.783,0.246,1.319,2.319,0.507,10.3,0.546,1.1,1.5,2.7,0.062
Will Barton,SG,28,DEN,43,11830358,0,11.488,0.415,2.884,0.104,4.628,0.167,0.744,3.884,0.419,0.512,1.512,1.907,0.475,11,0.501,0.1,1.1,1.2,0.049
Willie Cauley-Stein,C,25,SAC,81,4696874,4.86,11.914,0.436,2.395,0.088,8.37,0.306,2.235,6.136,1.185,0.63,1.037,2.802,0.557,18,0.566,3.8,2.9,6.7,0.146
Willy Hernangomez,C,24,CHO,58,1496500,1.08,7.259,0.518,1.034,0.074,5.362,0.383,2.017,3.345,0.276,0.345,1,1.69,0.544,20.4,0.587,1.8,0.8,2.6,0.153
Wilson Chandler,PF-SF,31,TOT,51,12800562,-0.54,5.98,0.259,1.608,0.07,4.216,0.183,0.941,3.275,0.49,0.412,0.902,2.412,0.526,8.5,0.537,0.5,1,1.5,0.062
Yogi Ferrell,PG,25,SAC,71,3000000,0.54,5.915,0.394,1.93,0.128,1.535,0.102,0.183,1.352,0.507,0.056,0.563,0.901,0.511,12.7,0.55,1.3,0.6,1.9,0.087
Zach Collins,C,21,POR,77,3628920,0.81,6.649,0.378,0.922,0.052,4.208,0.239,1.416,2.792,0.325,0.857,1,2.26,0.523,13.5,0.562,1.4,1.5,2.9,0.104
Zach LaVine,SG,23,CHI,63,19500000,4.050000000000001,23.683,0.687,4.492,0.13,4.667,0.135,0.635,4.032,0.952,0.413,3.413,2.222,0.52,18.7,0.574,1.7,1.1,2.8,0.062
Zaza Pachulia,C,34,DET,68,2393887,0.54,3.926,0.304,1.338,0.104,3.897,0.302,1.456,2.441,0.456,0.25,0.838,2.221,0.44,13.7,0.539,1.1,1.3,2.3,0.128
